label,packet_count,avg_packet_size,unique_src_ips,unique_dst_ips,unique_dst_ports,tcp_count,udp_count,reasons
ALERT,316,318.48,91,10,8,42,274,Possible DoS: high packet volume
ALERT,562,305.22,99,11,12,46,516,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,423,263.4,94,10,12,40,383,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,378,331.59,100,8,10,54,324,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,382,242.57,93,11,13,52,330,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,5289,1167.85,92,12,13,1739,3550,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,274,406.34,81,7,7,35,239,Possible DoS: high packet volume
ALERT,885,972.9,79,13,10,249,636,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,865,730.8,110,13,15,170,695,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1416,1008.55,103,13,17,369,1047,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,11933,1236.47,111,11,13,3495,8438,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1662,1116.83,83,12,13,374,1288,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,738,1021.68,70,10,13,154,584,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,3321,1145.42,109,11,13,905,2416,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,3421,1147.38,102,12,14,851,2570,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1338,865.6,109,11,9,236,1102,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1991,1098.33,101,9,12,603,1388,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,2036,1100.14,103,12,14,597,1439,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,3160,1173.66,91,8,8,769,2391,Possible DoS: high packet volume
ALERT,3253,1132.68,123,13,15,778,2475,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,3654,1191.59,104,15,15,1258,2396,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1398,1038.31,107,11,11,337,1061,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,1779,1069.53,109,14,15,486,1293,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,2571,1068.79,112,19,21,757,1814,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,2206,1127.23,91,9,13,704,1502,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
